'BGS','NYSE'    
'BWC','NYSE'    
'BMI','NYSE'    
'BHI','NYSE'    
'BBN','NYSE'    
'BLL','NYSE'    
'BYI','NYSE'    
'BALT','NYSE'   
'BGE-B','NYSE'  
'BBVA','NYSE'   
'BBD','NYSE'    
'BCH','NYSE'    
'BLX','NYSE'    
'BMA','NYSE'    
'BSBR','NYSE'   
'STD','NYSE'    
'STD-A','NYSE'  
'STD-B','NYSE'  
'STD-C','NYSE'  
'STD-E','NYSE'  
'STD-f','NYSE'  
'STD-I','NYSE'  
'SAN','NYSE'    
'CIB','NYSE'    
'BXS','NYSE'    
'BXS-A','NYSE'  
'BAC','NYSE'    
'BAC-WS-A'
'BAC-WS-B'
'BAC-B','NYSE'  
'BAC-C','NYSE'  
'BAC-D','NYSE'  
'BAC-E','NYSE'  
'BAC-H','NYSE'  
'BAC-I','NYSE'  
'BAC-J','NYSE'  
'BAC-L','NYSE'  
'BAC-U','NYSE'  
'BAC-V','NYSE'  
'BAC-W','NYSE'  
'BAC-X','NYSE'  
'BAC-Y','NYSE'  
'BAC-Z','NYSE'  
'BML-G','NYSE'  
'BML-H','NYSE'  
'BML-I','NYSE'  
'BML-J','NYSE'  
'BML-L','NYSE'  
'BML-N','NYSE'  
'BML-O','NYSE'  
'BML-Q','NYSE'  
'IKJ','NYSE'    
'IKL','NYSE'    
'IKM','NYSE'    
'IKR','NYSE'    
'BOH','NYSE'    
'BMO','NYSE'    
'BK','NYSE'     
'BK-E','NYSE'   
'BK-F','NYSE'   
'BNS','NYSE'    
'BBX','NYSE'    
'RATE','NYSE'   
'BKU','NYSE'    
'BCS','NYSE'    
'BCS-','NYSE'   
'BCS-A','NYSE'  
'BCS-C','NYSE'  
'BCS-D','NYSE'  
'BKS','NYSE'    
'B','NYSE'      
'ABX','NYSE'    
'BAS','NYSE'    
'BAX','NYSE'    
'BTE','NYSE'    
'BBT','NYSE'    
'BBT-A','NYSE'  
'BBT-B','NYSE'  
'BBT-C','NYSE'  
'PMB-','NYSE'   
'BFR','NYSE'    
'BCE','NYSE'    
'BEAM','NYSE'   
'BEAM-A','NYSE' 
'FBHS','NYSE'   
'TZF','NYSE'    
'BZH','NYSE'    
'BZMD','NYSE'   
'BZU','NYSE'    
'BDX','NYSE'    
'BDC','NYSE'    
'BLC','NYSE'    
'BMS','NYSE'    
'BHE','NYSE'    
'BRK-A','NYSE'  
'BRK-B','NYSE'  
'BRY','NYSE'    
'BBY','NYSE'    
'BHP','NYSE'    
'BBL','NYSE'    
'BIG','NYSE'    
'BH','NYSE'     
'BBG','NYSE'    
'BMR','NYSE'    
'BMR-A','NYSE'  
'BIO','NYSE'    
'BIO-B','NYSE'  
'BITA','NYSE'   
'BKH','NYSE'    
'BJZ','NYSE'    
'BFZ','NYSE'    
'CII','NYSE'    
'BHK','NYSE'    
'CYE','NYSE'    
'HYV','NYSE'    
'HYT','NYSE'    
'COY','NYSE'    
'PSY','NYSE'    
'DSU','NYSE'    
'BHL','NYSE'    
'DVF','NYSE'    
'BQR','NYSE'    
'BGR','NYSE'    
'BDJ','NYSE'    
'EGF','NYSE'    
'EGF-WD','NYSE' 
'BDV','NYSE'    
'FRB','NYSE'    
'FRA','NYSE'    
'BFO','NYSE'    
'BGT','NYSE'    
'BOE','NYSE'    
'BME','NYSE'    
'BHY','NYSE'    
'BAF','NYSE'    
'BNA','NYSE'    
'BKT','NYSE'    
'BGY','NYSE'    
'BKN','NYSE'    
'BTA','NYSE'    
'MUI','NYSE'    
'MNE','NYSE'    
'MUA','NYSE'    
'BPK','NYSE'    
'BKK','NYSE'    
'BIE','NYSE'    
'BBK','NYSE'    
'BBF','NYSE'    
'BYM','NYSE'    
'BFK','NYSE'    
'MEN','NYSE'    
'MUC','NYSE'    
'MUH','NYSE'    
'MHD','NYSE'    
'MFL','NYSE'    
'MUJ','NYSE'    
'MHN','NYSE'    
'MUE','NYSE'    
'MUS','NYSE'    
'MVT','NYSE'    
'MYC','NYSE'    
'MCA','NYSE'    
'MYD','NYSE'    
'MYF','NYSE'    
'MFT','NYSE'    
'MYM','NYSE'    
'MIY','NYSE'    
'MYJ','NYSE'    
'MJI','NYSE'    
'MYN','NYSE'    
'MPA','NYSE'    
'MQT','NYSE'    
'MYI','NYSE'    
'MQY','NYSE'    
'BNJ','NYSE'    
'BNY','NYSE'    
'BLH','NYSE'    
'BQH','NYSE'    
'BSE','NYSE'    
'BTZ','NYSE'    
'PSW','NYSE'    
'BPP','NYSE'    
'BCF','NYSE'    
'BCX','NYSE'    
'BHD','NYSE'    
'BDT','NYSE'    
