'LEI','AMEX'             
'MCZ','AMEX'             
'MVG','AMEX'             
'MHR-C','AMEX'           
'MHR-D','AMEX'           
'MHE','AMEX'             
'MHH','AMEX'             
'MDGN','AMEX'            
'MDGN-WS','AMEX'         
'MBR','AMEX'             
'IPB','AMEX'             
'MEA','AMEX'             
'MXC','AMEX'             
'CCA','AMEX'             
'MGT','AMEX'             
'MSL','AMEX'             
'MDW','AMEX'             
'MGH','AMEX'             
'MFN','AMEX'             
'MGN','AMEX'             
'MXA','AMEX'             
'MDM','AMEX'             
'MVF','AMEX'             
'MZA','AMEX'             
'NHC','AMEX'             
'NHC-A','AMEX'           
'NEOP','AMEX'            
'NBS','AMEX'             
'NBS-WS','AMEX'          
'NBW','AMEX'             
'NHS','AMEX'             
'NBH','AMEX'             
'NBO','AMEX'             
'NRO','AMEX'             
'CUR','AMEX'             
'UWN','AMEX'             
'NSU','AMEX'             
'GBR','AMEX'             
'NEWN','AMEX'            
'NEN','AMEX'             
'NGD','AMEX'             
'PAL','AMEX'             
'NAK','AMEX'             
'NOG','AMEX'             
'NBY','AMEX'             
'NG','AMEX'              
'NTN','AMEX'             
'NLP','AMEX'             
'NFZ','AMEX'             
'NFZ-C','AMEX'           
'NKR','AMEX'             
'NXE','AMEX'             
'NVX','AMEX'             
'NZH','AMEX'             
'NCB','AMEX'             
'NCU','AMEX'             
'NFC','AMEX'             
'NGK','AMEX'             
'NGO','AMEX'             
'CFD','AMEX'             
'NXZ','AMEX'             
'NZF','AMEX'             
'NZX','AMEX'             
'NZX-C','AMEX'           
'NKG','AMEX'             
'NPG','AMEX'             
'NKL','AMEX'             
'NKX','AMEX'             
'NVG','AMEX'             
'NGX','AMEX'             
'NKO','AMEX'             
'NRK','AMEX'             
'NEA','AMEX'             
'NFM','AMEX'             
'NZR','AMEX'             
'NWI','AMEX'             
'NMB','AMEX'             
'NMB-C','AMEX'           
'NZW','AMEX'             
'NZW-C','AMEX'           
'NOM','AMEX'             
'NMZ','AMEX'             
'NXJ','AMEX'             
'NUJ','AMEX'             
'NJV','AMEX'             
'NXK','AMEX'             
'NYV','AMEX'             
'NRB','AMEX'             
'NNO','AMEX'             
'NII','AMEX'             
'NXI','AMEX'             
'NXI-D','AMEX'           
'NBJ','AMEX'             
'NBJ-A','AMEX'           
'NVJ','AMEX'             
'NVJ-A','AMEX'           
'NXM','AMEX'             
'NVY','AMEX'             
'NPN','AMEX'             
'JRS','AMEX'             
'JFP','AMEX'             
'NGB','AMEX'             
'NNB','AMEX'             
'BQI','AMEX'             
'OBT','AMEX'             
'TIS','AMEX'             
'ONP','AMEX'             
'OESX','AMEX'            
'OFI','AMEX'             
'PHF','AMEX'             
'PBM','AMEX'             
'PCG-A','AMEX'           
'PCG-B','AMEX'           
'PCG-C','AMEX'           
'PCG-D','AMEX'           
'PCG-E','AMEX'           
'PCG-G','AMEX'           
'PCG-H','AMEX'           
'PCG-I','AMEX'           
'PCE','AMEX'             
'PPW-','AMEX'            
'PTN','AMEX'             
'PZG','AMEX'             
'PCYG','AMEX'            
'PRK','AMEX'             
'PTX','AMEX'             
'PIP','AMEX'             
'PNS','AMEX'             
'HNW','AMEX'             
'PDC','AMEX'             
'PLG','AMEX'             
'PCC','AMEX'             
'PLM','AMEX'             
'PW','AMEX'              
'APTS','AMEX'            
'PKT','AMEX'             
'PBTH','AMEX'            
'PLX','AMEX'             
'PDO','AMEX'             
'QMM','AMEX'             
'QPSA','AMEX'            
'QRM','AMEX'             
'REE','AMEX'             
'UTG','AMEX'             
'RWC','AMEX'             
'RCG','AMEX'             
'RTK','AMEX'             
'RVP','AMEX'             
'RVM','AMEX'             
'RNN','AMEX'             
'RIC','AMEX'             
'RAP','AMEX'             
'RIF','AMEX'             
'RPI','AMEX'             
'RBY','AMEX'             
'BQY','AMEX'             
'SGA','AMEX'             
'SAL','AMEX'             
'SSN','AMEX'             
'SDO-A','AMEX'           
'SDO-B','AMEX'           
'SDO-C','AMEX'           
'SDO-H','AMEX'           
'SARA','AMEX'            
'SEB','AMEX'             
'SA','AMEX'              
'IDI','AMEX'             
'IDI-U','AMEX'           
'IDI-WS','AMEX'          
'SED','AMEX'             
'SNT','AMEX'             
'SVT','AMEX'             
'SIF','AMEX'             
'SVBL','AMEX'            
'WWZ-K','AMEX'           
'MMZ-K','AMEX'           
'OOZ-K','AMEX'           
'QQZ-K','AMEX'           
'SS-K','AMEX'            
'SIHI','AMEX'            
'SLI','AMEX'             
'ZXX','AMEX'             
'ZXX-F','AMEX'           
'XPL','AMEX'             
'SOQ','AMEX'             
'SCE-B','AMEX'           
'SCE-C','AMEX'           
'SCE-D','AMEX'           
'SCE-E','AMEX'           
'SSE','AMEX'             
'SGB','AMEX'             
'LOV','AMEX'             
'SILU','AMEX'            
'SGS','AMEX'             
'SSY','AMEX'             
'STS','AMEX'             
'SYRG','AMEX'            
'TTTM','AMEX'            
'TTTM-WS-W','AMEX'       
'TTTM-WS-Z','AMEX'       
'TLB-WS','AMEX'          
'TRX','AMEX'             
'TGB','AMEX'             
'TAS','AMEX'             
'TSH','AMEX'             
'TIK','AMEX'             
'TGC','AMEX'             
'TF','AMEX'              
'GGN','AMEX'             
'GGN-A','AMEX'           
'TPI','AMEX'             
'TLR','AMEX'             
'TGD','AMEX'             
'TOF','AMEX'             
'TMP','AMEX'             
'TAT','AMEX'             
'TA','AMEX'              
'TPLM','AMEX'            
'TRT','AMEX'             
'TIV','AMEX'             
'TCX','AMEX'             
'TWO-WS','AMEX'          
'HTM','AMEX'             
'ULU','AMEX'             
'UMH','AMEX'             
'UMH-A','AMEX'           
'UVE','AMEX'             
'UPG','AMEX'             
'UUU','AMEX'             
'UQM','AMEX'             
'URG','AMEX'             
'URZ','AMEX'             
'UEC','AMEX'             
'VTG','AMEX'             
'VSR','AMEX'             
'VII','AMEX'             
'VHC','AMEX'             
'VGZ','AMEX'             
'VOG','AMEX'             
'VRNG','AMEX'            
'VRNG-WS','AMEX'         
'WAC','AMEX'             
'WSO-B','AMEX'           
'EAD','AMEX'             
'ERC','AMEX'             
'ERH','AMEX'             
'WGA','AMEX'             
'SBI','AMEX'             
'WRN','AMEX'             
'RVR','AMEX'             
'WSR','AMEX'             
'WYY','AMEX'             
'WEX','AMEX'             
'WTT','AMEX'             
'WIS-','AMEX'            
'WZE','AMEX'             
'XFN','AMEX'             
'XPO','AMEX'             
'YMI','AMEX'             
'ZBB','AMEX'             
