"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"ROSG","Rosetta Genomics Ltd.","1.3899","$3.67M","2007","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/rosg",
"ROST","Ross Stores, Inc.","60.59","$23.36B","1985","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/rost",
"RBPAA","Royal Bancshares of Pennsylvania, Inc.","4.14","$124.79M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/rbpaa",
"RGLD","Royal Gold, Inc.","90.19","$5.89B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/rgld",
"RPXC","RPX Corporation","12.72","$629.64M","2011","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/rpxc",
"RTIX","RTI Surgical, Inc.","4.5","$267.79M","2000","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/rtix",
"RBCN","Rubicon Technology, Inc.","8.27","$22.53M","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/rbcn",
"RUSHA","Rush Enterprises, Inc.","40.9","$1.63B","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/rusha",
"RUSHB","Rush Enterprises, Inc.","38.19","$1.52B","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/rushb",
"RUTH","Ruth&#39;s Hospitality Group, Inc.","20.05","$633.62M","2005","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/ruth",
"RXII","RXi Pharmaceuticals Corporation","0.53","$12.56M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/rxii",
"RXIIW","RXi Pharmaceuticals Corporation","0.185","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/rxiiw",
"RYAAY","Ryanair Holdings plc","110.28","$26.24B","1997","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/ryaay",
"STBA","S&T Bancorp, Inc.","36.76","$1.29B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/stba",
"SANW","S&W Seed Company","3.2011","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/sanw",
"SCAC","Saban Capital Acquisition Corp.","10.05","$314M","2016","Finance","Business Services","http://www.nasdaq.com/symbol/scac",
"SCACU","Saban Capital Acquisition Corp.","10.64","n/a","2016","Finance","Business Services","http://www.nasdaq.com/symbol/scacu",
"SCACW","Saban Capital Acquisition Corp.","1.14","n/a","2016","Finance","Business Services","http://www.nasdaq.com/symbol/scacw",
"SBRA","Sabra Healthcare REIT, Inc.","23.35","$3.74B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/sbra",
"SBRAP","Sabra Healthcare REIT, Inc.","25.5501","$146.91M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/sbrap",
"SABR","Sabre Corporation","18.09","$5.04B","2014","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/sabr",
"SAEX","SAExploration Holdings, Inc.","2.84","$26.77M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/saex",
"SAFT","Safety Insurance Group, Inc.","72.1","$1.1B","2002","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/saft",
"SAGE","Sage Therapeutics, Inc.","64.85","$2.43B","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/sage",
"SAIA","Saia, Inc.","57.55","$1.46B","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/saia",
